theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0157238078932075,.096291088,.04677359,2.0586636,.039794724
p25,-.0016207867994986,.073529914,.035717305,2.0586636,.039794724
p50,.0269418856364868,.027431998,.013325148,2.0586636,.039794724
p75,.0733605907577706,.0041614459,.017685538,.23530221,.81402415
p90,.1785978739908932,.019046403,.080944434,.23530221,.81402415
