model,control_set,z_controls,debt_control,x_control,theta_main,b_G,se_G,t_G,p_G,b_Gtheta,se_Gtheta,t_Gtheta,p_Gtheta,b_theta,se_theta,t_theta,p_theta,b_B,se_B,t_B,p_B,b_X,se_X,t_X,p_X,N_model,N_countries,r2
Baseline,Z+B+X,1,1,1,0,-.066300491273251,.041132201,-1.6118877,.10731268,,,,,,,,,-.084561452,.024067365,-3.5135319,.00046266307,.32344738,.24594441,1.3151238,.18878005,1060,60,.44986573
Baseline,B+X,0,1,1,0,-.125185785058583,.043191209,-2.8984089,.0038346418,,,,,,,,,-.083603173,.021161603,-3.9507015,.000083537285,-.27845907,.21816631,-1.2763615,.20213169,1060,60,.36227685
Baseline,None,0,0,0,0,-.1372844118725355,.043651771,-3.1449907,.0017111023,,,,,,,,,,,,,,,,,1060,60,.33151308
Continuous Full-theta,Z+B+X,1,1,1,0,-.0682185830388538,.041006938,-1.6635864,.09651947,-.10046789,.1110491,-.9047159,.36584148,,,,,-.065265,.036094289,-1.8081807,.070889279,.34263468,.24498695,1.3985834,.16225891,1060,60,.45049468
Continuous Full-theta,B+X,0,1,1,0,-.1329887482541018,.042457651,-3.1322682,.0017863981,-.23249093,.11540169,-2.0146234,.04421857,,,,,-.034137528,.035988171,-.94857639,.3430714,-.14155495,.2123886,-.66649032,.50525558,1060,60,.36855844
Continuous Full-theta,None,0,0,0,0,-.1385978492060455,.04214422,-3.2886562,.0010426398,-.33235559,.068413779,-4.8580213,1.3805117e-06,,,,,,,,,,,,,1060,60,.3677589
Full-theta dynamics,Z+B+X,1,1,1,1,-.0691520447636852,.042010169,-1.6460787,.10007317,-.075439945,.57540423,-.13110772,.89571744,-.016447576,.34774867,-.047297306,.96228606,-.064445965,.029310536,-2.1987305,.028133804,.33850455,.26870814,1.2597481,.20806484,1060,60,.44993424
Full-theta dynamics,B+X,0,1,1,1,-.1413944570780302,.047469225,-2.9786553,.0029670089,-.060999542,.54215467,-.11251317,.91043973,-.11060458,.31821796,-.34757489,.72823465,-.028144859,.03095765,-.90914065,.36350101,-.16030212,.22237337,-.72086924,.47116312,1060,60,.36836538
Full-theta dynamics,None,0,0,0,1,-.1503036247535812,.04823776,-3.1158915,.0018875356,-.051823232,.54481626,-.095120564,.92423862,-.16485767,.3251645,-.50699776,.61227101,,,,,,,,,1060,60,.36827955
