selection_rule,cutoff,rss,sign_ok,N_model,N_countries,share_low,share_high,b_low,se_low,t_low,p_low,p_low_positive,b_high,se_high,t_high,p_high,p_high_negative,r2
rss_min_cutoff,.1788950476352001,1.8959068,0,1060,60,.89999998,.1,.093421772,.31919107,.29268292,.77079141,.38539571,.47005358,.65807283,.71428812,.47786558,.76106721,.45010659
sign_consistent_cutoff,-.0091057174425423,1.9175586,1,1060,60,.17924528,.82075471,2.0545886,2.492173,.82441652,.4130235,.20651175,-.0002477103,.57391673,-.00043161365,.99965709,.49982855,.44382665
