theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0157238078932075,.018181639,.062120598,.29268292,.77079141
p25,-.0016207867994986,.01686411,.057619039,.29268292,.77079141
p50,.0269418856364868,.014195734,.048502091,.29268292,.77079141
p75,.0733605907577706,.0098592164,.033685654,.29268292,.77079141
p90,.1785978739908932,.000027762489,.000094855168,.29268292,.77079141
