theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0157238078932075,.018181639,.07251507,.25072908,.80207688
p25,-.0016207867994986,.01686411,.06726028,.25072908,.80207688
p50,.0269418856364868,.014195734,.056617815,.25072908,.80207688
p75,.0733605907577706,.0098592164,.039322186,.25072908,.80207688
p90,.1785978739908932,.000027762489,.00011072704,.25072908,.80207688
