term,coef,var_G_main,var_G_B,var_G_X
G_main,   .0627717663788997,  .00592954657872079,-.000047449666620548,  -.0138872244044156
G_B,     -.2763225581274,-.000047449666620548,  .00127665452808771,-.000957623308108071
G_X,   .0139057776177747,  -.0138872244044156,-.000957623308108071,   .0351211558530052
