term,coef,var_a,var_b,cutoff,N_model,N_countries
kink_G_low,    .725638492764785,   .0391612148131687, -.00081074180332862,.1030368341448663,1060,60
kink_G_high,   -.225450867858798, -.00081074180332862,   .0060860525485378,.1030368341448663,1060,60
