group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,.026941886,-.027347311,.049886357,-.5481922,.58382821,530,44,.51141584
Top 50%,50,.0269418856364868,,-.1857098,.077196464,-2.4056776,.016540559,530,44,.43390268
0-20%,20,,-.0072899405,.0077215284,.1722879,.044817589,.96430892,212,23,.59722078
20-40%,20,-.0072899402897614,.014335646,-.0010910272,.063178025,-.017269092,.98624533,212,35,.55024928
40-60%,20,.0143356459455,.040227402,-.23358531,.083334044,-2.803,.0057763732,212,41,.41182658
60-80%,20,.0402274029792956,.099989936,-.1325455,.11634512,-1.1392442,.25649291,212,38,.48937207
80-100%,20,.0999899368861879,,-.41730988,.25726223,-1.6221186,.10677171,212,24,.57619256
