grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
1,-.0157238078932075,.1030368341448663,.1187606420380738,0,.08617729328828599,.0235017723170929,.0401138195467839,.1322407670297881,.7256384927647849,-.2254508678587982,1060,60
2,-.0137609626216509,.1030368341448663,.1167977967665172,0,.08475297720390319,.0231133410836964,.0394508286798583,.1300551257279481,.7256384927647849,-.2254508678587982,1060,60
3,-.0117981173500943,.1030368341448663,.1148349514949606,0,.08332866111952041,.0227249098503,.0387878378129324,.1278694844261084,.7256384927647849,-.2254508678587982,1060,60
4,-.0098352720785377,.1030368341448663,.112872106223404,0,.0819043450351376,.0223364786169035,.0381248469460067,.1256838431242685,.7256384927647849,-.2254508678587982,1060,60
5,-.0078724268069811,.1030368341448663,.1109092609518474,0,.0804800289507548,.021948047383507,.0374618560790811,.1234982018224285,.7256384927647849,-.2254508678587982,1060,60
6,-.0059095815354245,.1030368341448663,.1089464156802908,0,.0790557128663719,.0215596161501106,.0367988652121551,.1213125605205887,.7256384927647849,-.2254508678587982,1060,60
7,-.0039467362638679,.1030368341448663,.1069835704087342,0,.0776313967819891,.0211711849167141,.0361358743452295,.1191269192187487,.7256384927647849,-.2254508678587982,1060,60
8,-.0019838909923113,.1030368341448663,.1050207251371776,0,.0762070806976063,.0207827536833176,.0354728834783038,.1169412779169088,.7256384927647849,-.2254508678587982,1060,60
9,-.0000210457207547,.1030368341448663,.103057879865621,0,.0747827646132235,.0203943224499212,.034809892611378,.114755636615069,.7256384927647849,-.2254508678587982,1060,60
10,.0019417995508019,.1030368341448663,.1010950345940644,0,.0733584485288407,.0200058912165247,.0341469017444523,.1125699953132291,.7256384927647849,-.2254508678587982,1060,60
11,.0039046448223585,.1030368341448663,.09913218932250779,0,.0719341324444579,.0196174599831282,.0334839108775266,.1103843540113892,.7256384927647849,-.2254508678587982,1060,60
12,.0058674900939151,.1030368341448663,.09716934405095121,0,.070509816360075,.0192290287497318,.0328209200106007,.1081987127095493,.7256384927647849,-.2254508678587982,1060,60
13,.007830335365471701,.1030368341448663,.0952064987793946,0,.0690855002756922,.0188405975163353,.032157929143675,.1060130714077094,.7256384927647849,-.2254508678587982,1060,60
