selection_rule,cutoff,rss,sign_ok,N_model,N_countries,share_low,share_high,b_low,se_low,t_low,p_low,p_low_positive,b_high,se_high,t_high,p_high,p_high_negative,r2
rss_min_cutoff,.1108363134069592,1.8981402,0,1060,60,.82452828,.17547169,.52995378,.50801235,1.0431907,.29712096,.14856048,.41806039,.63804042,.65522557,.51247853,.7437607,.44945881
sign_consistent_cutoff,-.0091057174425423,1.9175586,1,1060,60,.17924528,.82075471,2.0545886,2.8688293,.71617669,.47405535,.23702767,-.0002477103,.56979406,-.00043473652,.99965322,.49982661,.44382665
