selection_rule,cutoff,rss,sign_ok,N_model,N_countries,share_low,share_high,b_low,se_low,t_low,p_low,p_low_positive,b_high,se_high,t_high,p_high,p_high_negative,r2
rss_min_cutoff,.173954940362166,3.9868827,0,1000,60,.89999998,.1,.042065784,.54907286,.076612391,.93894881,.46947441,.24532481,.96704692,.25368449,.79979682,.60010159,.51489407
sign_consistent_cutoff,.1073359937689288,4.0204906,1,1000,60,.82099998,.17900001,.52704322,.7196722,.73233795,.46415153,.23207577,-.00055741199,1.0255212,-.00054354017,.99956644,.49978322,.51080477
