theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0157238078932075,.067071013,.064294107,1.0431907,.29712096
p25,-.0016207867994986,.059597064,.057129595,1.0431907,.29712096
p50,.0269418856364868,.04446017,.042619407,1.0431907,.29712096
p75,.0733605907577706,.0198604,.01903813,1.0431907,.29712096
p90,.1785978739908932,.028328424,.043234617,.65522557,.51247853
