country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,exposure100,readiness100,lnrgdp,growth,inflation_cpi,debt_gdp,OB_gdp,reserves,gee,rqe,tt,is_advanced,sensitivity,EcoReadiness100,readiness_delta100,vulnerability_delta100,capacity,governance100,social100,id,is_us,G_main,X_main,debt_ratio,G_B,G_X,G_E,G_lnrgdp,G_growth,G_inflation_cpi,G_OB_gdp,G_reserves,G_gee,G_rqe,G_tt,theta_sample_full,sg_G_hat_full,mG_hat_full,theta_hat_full
Australia,AUS,1995,.0262287,9.20119,32.682327,.47970188,58.292141,.070525296,.029590001,.046259999,31.097,-.0049700001,.01293663,,,,1,15.859905,50.48539,15.913918,-10.469088,35.108727,82.201729,42.189304,AUS,0,.5829214096069336,.3268232727050781,.3109700012207031,.1812710714570421,.1905122828175954,.2796284941222666,.0411107049761696,.0172486452854262,.0269659439859197,-.0028971194788843,.00754103876204,,,,0,,,
Australia,AUS,1996,.017644189,8.204134,32.679493,.47970188,58.607746,.07091447,.03968,.026530001,29.299999,.0056699999,.014481932,.018005645,.013675971,,1,15.929646,50.48539,15.758211,-10.165621,35.016052,82.201729,43.13612,AUS,0,.5860774612426758,.3267949295043945,.2929999923706055,.1717206916726878,.1915271426309147,.2811424580147059,.04156137234331,.0232555538933654,.0155486358159915,.0033230591276948,.0084875338963877,.0105527026525453,.0080151783383214,,0,,,
Australia,AUS,1997,.0059797601,6.9403162,32.809055,.47970188,58.791981,.071375996,.047230002,.0022499999,25.864,.012180001,.013976641,,,,1,15.978993,50.48539,15.514561,-9.7579803,35.386978,81.531799,44.358753,AUS,0,.587919807434082,.3280905532836914,.2586400032043457,.1520595808786493,.1928909349074893,.2820262349401446,.041963361749896,.0277674534099155,.0013228195097822,.007160863574137,.0082171440848938,,,,0,,,
Australia,AUS,1998,.00214657,5.4884648,32.852875,.47970188,59.190983,.071834087,.046869997,.0085900007,23.657,.0114,.011672732,.01618118,.014322111,,1,15.997271,50.48539,15.3734,-9.3631086,35.510792,80.861862,46.2257,AUS,0,.5919098281860352,.3285287475585937,.2365699958801269,.140028105615377,.1944593945215806,.2839402553826904,.0425193023141583,.0277428118329523,.0050845058275514,.0067477721551007,.006909205041341,.0095777996237704,.0084773984880204,,0,,,
Australia,AUS,1999,.0037617001,6.0230708,32.866142,.47970188,59.885521,.072266638,.044199999,.01408,22.504,.01643,.015960598,,,,1,16.045303,50.48539,15.590758,-9.0397234,35.502151,81.890678,47.280499,AUS,0,.598855209350586,.3286614227294922,.2250399971008301,.1347663745760729,.1968206051141315,.2872719677613077,.0432772527956104,.0264693999070587,.0084318814135127,.0098391909957535,.0095580874749167,,,,0,,,
Australia,AUS,2000,.00289165,6.3179202,32.862865,.47970188,60.694061,.072572738,.03108,.044569999,19.458,.019230001,.013269702,.017321702,.015756136,.67477971,1,16.049919,50.48539,15.944042,-8.7471361,35.486565,82.919495,48.677299,AUS,0,.6069406127929687,.3286286544799805,.1945800018310547,.1180985055485973,.1994580769314081,.2911505509660128,.0440473420326362,.018863714307829,.0270513424928413,.0116714683935265,.0080539210468322,.0105132444828735,.0095630387216107,.4095512126018548,1,.0644376927677302,-.0644376927677302,-.0125382863767339
Australia,AUS,2001,.0061443402,5.6167059,32.767452,.47970188,61.24575,.072827809,.025840001,.044070002,17.076,.0068600001,.012827222,,,.70167649,1,15.981267,50.48539,16.019842,-8.5332737,35.249592,82.047295,51.204567,AUS,0,.6124575042724609,.3276745223999024,.1707600021362305,.1045832447379158,.2006867202027148,.2937970141619462,.0446039378716415,.0158259026335706,.0269910032493081,.0042014585291388,.007856128517103,,,.4297470305997831,0,,,
Australia,AUS,2002,.01257369,5.8434129,32.802238,.47970188,61.517883,.073234178,.041469999,.03049,14.985,.0085000005,.014232129,.016591987,.014211556,.71440578,1,15.838411,50.48539,15.694317,-8.1100721,35.5215,81.175087,52.893169,AUS,0,.6151788330078125,.3280223846435547,.1498499965667725,.0921845460141718,.2017924277854618,.2951024406632496,.0450521162357518,.0255114653790815,.0187568024959387,.0052290203647397,.0087553044224296,.0102070389792686,.0087426484001742,.4394873110017216,1,.0743226645047856,-.0743226645047856,-.0111372510208755
Australia,AUS,2003,.01370614,5.3707681,32.750156,.47970188,61.995918,.073531516,.03018,.027309999,13.165,.013409999,.021304147,.017732788,.015752632,.71392965,1,15.73944,50.48539,15.702854,-7.857028,35.445065,81.740883,53.76149,AUS,0,.6199591827392579,.3275015640258789,.1316499996185303,.0816176261711276,.2030376019793126,.297395583400421,.0455865385006615,.0187103679916953,.0169310845799907,.0083136521440773,.0132077017602275,.0109936046801127,.009765988966673,.4426072443111844,1,.085395888169788,-.085395888169788,-.0112423686449766
Australia,AUS,2004,.013389191,5.5965352,32.679874,.47970188,62.901176,.073933609,.041030001,.02342,11.888,.013099999,.022721186,.019849418,.017112195,.78307229,1,15.563604,50.48539,15.90042,-7.4673872,35.38866,83.063911,55.154236,AUS,0,.6290117645263672,.3267987442016602,.1188799953460693,.0747769156395174,.2055602547352872,.3017381238721373,.0465051097479449,.025808353261647,.0147314558075225,.0082400535913444,.0142918934742727,.0124855172719016,.0107637722812115,.4925616846488037,1,.1022516471685742,-.1022516471685742,-.012155675339528
