selection_rule,cutoff,rss,sign_ok,N_model,N_countries,share_low,share_high,b_low,se_low,t_low,p_low,p_low_positive,b_high,se_high,t_high,p_high,p_high_negative,r2
rss_min_cutoff,.1788950476352001,1.8959068,0,1060,60,.89999998,.1,.093421772,.37260044,.25072908,.80207688,.40103844,.47005358,.63086075,.74509883,.45639324,.77180338,.45010659
sign_consistent_cutoff,-.0091057174425423,1.9175586,1,1060,60,.17924528,.82075471,2.0545886,2.8688293,.71617669,.47405535,.23702767,-.0002477103,.56979406,-.00043473652,.99965322,.49982661,.44382665
