theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0162359585834741,-.015889013,.11310828,-.14047612,.88831717
p25,-.0024445920160216,-.01470925,.10470997,-.14047612,.88831717
p50,.0241388450039541,-.012435207,.088521853,-.14047612,.88831717
p75,.0686125944979303,-.0086307609,.061439347,-.14047612,.88831717
p90,.167081994696944,-.00020733198,.0014759232,-.14047612,.88831717
