selection_rule,cutoff,rss,sign_ok,N_model,N_countries,share_low,share_high,b_low,se_low,t_low,p_low,p_low_positive,b_high,se_high,t_high,p_high,p_high_negative,r2
rss_min_cutoff,.0439389908390708,2.1759152,0,1060,60,.62358493,.3764151,2.0068529,.74766713,2.6841528,.0073950458,.0036975229,.23359455,.56752014,.41160575,.68071914,.65964043,.37278795
sign_consistent_cutoff,.0166964366432016,2.1949098,1,1060,60,.42735848,.57264149,2.2771297,1.0593221,2.1496103,.0318323,.01591615,-.0023680876,.55148113,-.0042940499,.99657476,.49828738,.36731273
