varname,N,mean,sd,median,min,max
theta_hat_full,1120,.069990568,.15302205,.027890829,-.15792002,1.2349477
mG_hat_full,1120,.065373316,.10806865,.065386586,-.38172647,.53981829
sg_G_hat_full,1120,-.065373316,.10806865,-.065386586,-.53981829,.38172647
