theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0157238078932075,-.011661906,.014883212,-.78356105,.43348822
p25,-.0016207867994986,-.0088065434,.011239129,-.78356105,.43348822
p50,.0269418856364868,-.0030236153,.0038588129,-.78356105,.43348822
p75,.0733605907577706,-.0059224139,.0036031173,-1.6436917,.10056263
p90,.1785978739908932,-.025718048,.015646515,-1.6436917,.10056263
