theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0227554245416531,.12651591,.049318347,2.5652909,.010457369
p25,-.0035084268143534,.042928044,.016734181,2.5652909,.010457369
p50,.01935791671065,-.01377309,.0045180232,-3.0484769,.0023620212
p75,.0719141070189072,-.069533192,.022809157,-3.0484769,.0023620212
p90,.1465406566170752,-.14870909,.04878144,-3.0484769,.0023620212
