theta_quantile,theta_point,marginal_effect,standard_error,t_stat,p_value
p10,-.0227554245416531,.090856865,.03505877,2.5915587,.0096980724
p25,-.0035084268143534,.025796782,.0099541573,2.5915587,.0096980724
p50,.01935791671065,-.012254235,.004973596,-2.4638581,.013917975
p75,.0719141070189072,-.054528311,.02213127,-2.4638581,.013917975
p90,.1465406566170752,-.11455489,.046494108,-2.4638581,.013917975
