group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,.019357916,.08227507,.053009152,1.5520918,.12133551,530,45,.55274922
Top 50%,50,.01935791671065,,-.26521799,.083961122,-3.1588192,.0016903008,530,47,.40256414
0-20%,20,,-.0083526904,.24307993,.14077435,1.7267345,.086182289,212,25,.60358107
20-40%,20,-.0083526903347141,.0094984155,.056517228,.065293491,.86558747,.38810802,212,33,.66851795
40-60%,20,.0094984154494014,.036048964,-.15211266,.098155558,-1.5497102,.12336136,212,35,.49874154
60-80%,20,.0360489636497715,.092873476,-.2487002,.14046988,-1.7704877,.078761891,212,37,.36647448
80-100%,20,.0928734751394085,,-.37213585,.17917842,-2.0769012,.03940906,212,22,.52152663
