selection_rule,cutoff,rss,sign_ok,N_model,N_countries,share_low,share_high,b_low,se_low,t_low,p_low,p_low_positive,b_high,se_high,t_high,p_high,p_high_negative,r2
rss_min_cutoff,.0041231435658208,1.8884003,1,1060,60,.34999999,.64999998,3.4024971,1.4675815,2.3184381,.020633528,.010316764,-.15409563,.42922449,-.35900941,.71966648,.35983324,.45228377
sign_consistent_cutoff,.0041231435658208,1.8884003,1,1060,60,.34999999,.64999998,3.4024971,1.4675815,2.3184381,.020633528,.010316764,-.15409563,.42922449,-.35900941,.71966648,.35983324,.45228377
