country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,exposure100,readiness100,lnrgdp,growth,inflation_cpi,debt_gdp,OB_gdp,reserves,gee,rqe,tt,is_advanced,sensitivity,EcoReadiness100,readiness_delta100,vulnerability_delta100,capacity,governance100,social100,id,is_us,G_main,X_main,debt_ratio,G_B,G_X,G_E,G_lnrgdp,G_growth,G_inflation_cpi,G_OB_gdp,G_reserves,G_gee,G_rqe,G_tt,theta_sample_full,sg_G_hat_full,mG_hat_full,theta_hat_full
Australia,AUS,1995,.0262287,9.20119,32.682327,.47970188,58.292141,.070525296,.029590001,.046259999,31.097,-.0049700001,.01293663,,,,1,15.859905,50.48539,15.913918,-10.469088,35.108727,82.201729,42.189304,AUS,0,.1591391754150391,-.1046908760070801,.3109700012207031,.0494875095730764,-.0166604196812448,.0763393610935873,.0112233374565022,.004708928412151,.0073617781393568,-.0007909217217796,.0020587246764072,,,,0,,,
Australia,AUS,1996,.017644189,8.204134,32.679493,.47970188,58.607746,.07091447,.03968,.026530001,29.299999,.0056699999,.014481932,.018005645,.013675971,,1,15.929646,50.48539,15.758211,-10.165621,35.016052,82.201729,43.13612,AUS,0,.1575821113586426,-.1016562080383301,.2929999923706055,.0461715574258262,-.0160191998953935,.0755924345436847,.0111748518547954,.0062528582408901,.0041806536211704,.0008934905505519,.0022820934092653,.0028373675401236,.0021550883782336,,0,,,
Australia,AUS,1997,.0059797601,6.9403162,32.809055,.47970188,58.791981,.071375996,.047230002,.0022499999,25.864,.012180001,.013976641,,,,1,15.978993,50.48539,15.514561,-9.7579803,35.386978,81.531799,44.358753,AUS,0,.1551456069946289,-.0975798034667969,.2586400032043457,.040126860290231,-.0151390778392728,.074423638827825,.0110736722047807,.0073275272571242,.0003490776007109,.0018896735775309,.0021684144515851,,,,0,,,
Australia,AUS,1998,.00214657,5.4884648,32.852875,.47970188,59.190983,.071834087,.046869997,.0085900007,23.657,.0114,.011672732,.01618118,.014322111,,1,15.997271,50.48539,15.3734,-9.3631086,35.510792,80.861862,46.2257,AUS,0,.1537339973449707,-.0936310863494873,.2365699958801269,.0363688511185352,-.0143942811802588,.0737464870298004,.0110433413972987,.0072055119843839,.0013205751419752,.0017525675992842,.0017944958149057,.0024875975221493,.0022017954333409,,0,,,
Australia,AUS,1999,.0037617001,6.0230708,32.866142,.47970188,59.885521,.072266638,.044199999,.01408,22.504,.01643,.015960598,,,,1,16.045303,50.48539,15.590758,-9.0397234,35.502151,81.890678,47.280499,AUS,0,.1559075832366943,-.0903972339630127,.2250399971008301,.0350854420795831,-.0140936142784553,.0747891602610991,.0112669169227132,.0068911150889216,.0021951787891179,.0025615615681388,.0024883783180164,,,,0,,,
Australia,AUS,2000,.00289165,6.3179202,32.862865,.47970188,60.694061,.072572738,.03108,.044569999,19.458,.019230001,.013269702,.017321702,.015756136,.67477971,1,16.049919,50.48539,15.944042,-8.7471361,35.486565,82.919495,48.677299,AUS,0,.1594404220581055,-.0874713611602783,.1945800018310547,.0310239176160103,-.0139464707413917,.0764838696735978,.0115710279658231,.0049554083339117,.0071062594484317,.0030660394237557,.0021157268830972,.0027617794924545,.0025121649429838,.1075871622614955,1,.0696129669744832,-.0696129669744832,-.0135452912413601
Australia,AUS,2001,.0061443402,5.6167059,32.767452,.47970188,61.24575,.072827809,.025840001,.044070002,17.076,.0068600001,.012827222,,,.70167649,1,15.981267,50.48539,16.019842,-8.5332737,35.249592,82.047295,51.204567,AUS,0,.1601984214782715,-.0853327369689941,.1707600021362305,.0273554827938504,-.0136701697628534,.0768474834179437,.0116668999708641,.0041395274001557,.0070599447055358,.0010989611843747,.0020549007540782,,,.1124074657536289,0,,,
Australia,AUS,2002,.01257369,5.8434129,32.802238,.47970188,61.517883,.073234178,.041469999,.03049,14.985,.0085000005,.014232129,.016591987,.014211556,.71440578,1,15.838411,50.48539,15.694317,-8.1100721,35.5215,81.175087,52.893169,AUS,0,.1569431686401367,-.0811007213592529,.1498499965667725,.0235179332819029,-.012728204189122,.0752859325225518,.0114936039678284,.0065084329928422,.0047851971805936,.0013340170059389,.0022336353995581,.0026039989575185,.0022304066209842,.1121211060343285,1,.0862233120035848,-.0862233120035848,-.0129205630077129
Australia,AUS,2003,.01370614,5.3707681,32.750156,.47970188,61.995918,.073531516,.03018,.027309999,13.165,.013409999,.021304147,.017732788,.015752632,.71392965,1,15.73944,50.48539,15.702854,-7.857028,35.445065,81.740883,53.76149,AUS,0,.1570285415649414,-.0785702800750732,.1316499996185303,.0206728074371229,-.0123377764905377,.0753268860747949,.0115465467002585,.0047391213481146,.00428844929268,.0021057526166392,.0033453591826311,.0027845538182562,.0024736128556079,.1121073322168923,1,.0909173476180295,-.0909173476180295,-.0119692687792314
Australia,AUS,2004,.013389191,5.5965352,32.679874,.47970188,62.901176,.073933609,.041030001,.02342,11.888,.013099999,.022721186,.019849418,.017112195,.78307229,1,15.563604,50.48539,15.90042,-7.4673872,35.38866,83.063911,55.154236,AUS,0,.1590042018890381,-.0746738719940186,.1188799953460693,.0189024187805743,-.0118734594183731,.0762746140398678,.0117557544647865,.0065239425458576,.003723878479606,.0020829549122999,.0036127640904634,.0031561408243062,.0027209109867414,.1245117849388333,1,.096087184650979,-.096087184650979,-.0114228440641253
Australia,AUS,2005,.010614409,5.3460999,32.71096,.47970188,63.382336,.074233115,.030400001,.026589999,10.84,.01561,.025831744,.017461812,.01599513,.884,1,15.426069,52.723495,15.833006,-7.0797873,35.620899,81.553566,55.869946,AUS,0,.1583300590515137,-.070797872543335,.1084000015258789,.0171629786427766,-.0112094313405078,.0759512264555838,.0117533334370989,.004813233876326,.0042099961079542,.0024715322405742,.0040899415647701,.0027647297446849,.002532509868395,.1399637727300217,1,.0935640424216296,-.0935640424216296,-.010142342341272
Australia,AUS,2006,.0079932399,5.5919361,32.709454,.47970188,67.754005,.074493319,.02636,.03554,9.9200001,.01464,.032046452,.017078994,.016237622,.98100001,1,15.398403,62.453278,19.424509,-6.5742683,35.624573,82.120148,58.688595,AUS,0,.1942450904846191,-.0657426834106445,.0992000007629395,.0192691131242715,-.0127701934878023,.0931797344336405,.0144699614500593,.0051203004982245,.006903470438946,.0028437480698155,.0062248660004335,.0033175107042267,.0031540783793019,.190554434969514,1,.0933092207032357,-.0933092207032357,-.0092562747649503
Australia,AUS,2007,.01361856,5.99336,32.712959,.47970188,68.457611,.074919827,.043569997,.023559999,9.6470003,.0128,.015002129,.018189551,.016842159,1.028,1,15.406164,64.254128,19.349241,-6.0645809,35.60117,82.620186,58.49852,AUS,0,.1934924125671387,-.060645809173584,.0964700031280518,.0186662136456061,-.0117345039290831,.0928186734241194,.0144964181299905,.0084304638259809,.0045586809925826,.0024767028182926,.002902798069639,.003519540166244,.0032588298831859,.1989101995654323,1,.1018286292709413,-.1018286292709413,-.0098234081842929
Australia,AUS,2008,.02178197,5.8257241,32.655495,.47970188,69.245193,.075182743,.02664,.043480001,11.709,-.01129,.017879732,.01784768,.017660176,1.1769999,1,15.349147,64.927834,19.757904,-5.8757892,35.44585,83.36319,59.444553,AUS,0,.1975790405273438,-.0587578916549683,.1170899963378906,.0231345291317906,-.0116093278565982,.0947790365257606,.0148545342993634,.0052635056044363,.0085907369567599,-.0022306673320472,.0035326602841883,.0035263274021986,.0034892807049943,.2325505161918773,1,.0991504293888982,-.0991504293888982,-.0116095234140464
Australia,AUS,2009,.019071421,5.151906,32.686104,.47970188,68.406021,.075378507,.01977,.0177,16.566,-.045089997,.022229424,.017019637,.018169276,1.099,1,15.439716,64.176392,17.720816,-5.066659,35.419312,83.141914,57.899754,AUS,0,.1772081565856934,-.0506665897369385,.1656599998474121,.0293563031929461,-.0089785329677665,.0850070852701287,.0133576863382319,.0035034052787253,.003136584324564,-.0079903153110546,.0039392352040736,.0030160184859521,.0032197439802287,.1947517600317042,1,.1173981271224832,-.1173981271224832,-.019448173721197
Australia,AUS,2010,.02187597,5.3792129,32.650017,.47970188,69.094688,.075618446,.02428,.02863,20.288,-.048660003,.021975664,.017633913,.016959768,1.206,1,15.409658,66.861481,18.814425,-5.3659177,35.310139,82.704971,57.717613,AUS,0,.1881442451477051,-.053659176826477,.2028800010681152,.0381707046565261,-.0100956653192648,.0902531474764305,.0142271754180672,.0045681423621247,.0053865696647889,-.0091550994672495,.0041345947942807,.0033177192663521,.0031908827084757,.226901954085854,1,.0938571485869672,-.0938571485869672,-.0190417384055742
Australia,AUS,2011,.02124056,4.8858328,32.658134,.47970188,69.458199,.075889796,.027509999,.03356,23.962,-.040710002,.023637168,.016901381,.018521227,1.352,1,15.42663,66.835564,18.035833,-4.6155534,35.293804,83.64138,57.897652,AUS,0,.1803583335876465,-.0461555337905884,.2396199989318848,.0432174637016284,-.0083245351603188,.0865182310897148,.0136873571462212,.0049616574918964,.0060528257401326,-.0073423881542402,.0042631602509455,.0030483049690865,.003340457627355,.2438444666664918,1,.0875509695509047,-.0875509695509047,-.0209789632302733
Australia,AUS,2012,.016236989,3.4128449,32.765156,.47970188,69.798607,.076269925,.03875,.016860001,27.42,-.028550001,.023936365,.016131485,.017788971,1.227,1,15.5065,66.803177,18.013937,-4.2730765,35.522594,83.330109,59.262531,AUS,0,.1801393699645996,-.0427307653427124,.2742000007629394,.0493942153817286,-.0076974931469414,.0864131938288233,.0137392161720152,.006980400639814,.0030371499197629,-.005142979167641,.0043118816742676,.0029059155230646,.003204493999969,.2210310066029751,1,.0827044107966089,-.0827044107966089,-.0226775495035286
Australia,AUS,2013,.013719,3.7201729,32.6712,.47970188,70.849617,.076491788,.022430001,.024500001,30.333,-.020639999,.025173411,.016324531,.0179122,1.1930001,1,15.695494,68.205643,17.742855,-3.5078096,34.972748,82.436188,61.907024,AUS,0,.1774285507202149,-.0350780963897705,.3033300018310547,.0538194026148442,-.006223855804461,.0851128087500592,.0135718270921024,.0039797225393375,.0043469997094444,-.0036621250807475,.0044664817901872,.0028964379274312,.003178135636662,.2116722748843586,1,.0685497955850987,-.0685497955850987,-.0207932096203464
Australia,AUS,2014,.0110954,3.639209,32.645267,.47970188,70.969131,.076744445,.025590001,.02513,33.893002,-.0207,.02504397,.016008949,.018573735,1.113,1,15.806642,72.416267,17.443041,-3.2612226,34.745388,83.908722,56.582413,AUS,0,.1744304084777832,-.0326122260093689,.3389300155639648,.0591197010602038,-.005688563904184,.0836745942899302,.013386564831891,.004463674270535,.0043834361590165,-.0036107094949982,.0043684299124565,.0027924474971926,.0032398241671866,.1941410507907153,1,.067313798346534,-.067313798346534,-.0228146667212604
Australia,AUS,2015,.0058648903,2.7184091,32.711731,.47970188,70.598801,.076973803,.0232,.01485,37.575001,-.01863,.020615015,.015332525,.017774103,1,1,15.77478,71.344177,17.348564,-3.3740401,35.00465,82.152939,58.299286,AUS,0,.1734856414794922,-.0337404012680054,.3757500076293945,.0651872311095096,-.0058534751577554,.0832213877878621,.0133538496497971,.0040248668311385,.0025762617620107,-.0032320374714992,.0035764091324242,.0026599728769556,.0030835516970014,.1734856414794922,1,.0598328074960736,-.0598328074960736,-.0224821778731377
