varname,N,mean,sd,median,min,max
theta_hat_full,1120,.062107649,.15085071,.020325547,-.094017424,1.2851038
mG_hat_full,1120,.056436218,.10602468,.044454418,-.18407831,.56174242
sg_G_hat_full,1120,-.056436218,.10602468,-.044454418,-.56174242,.18407831
