"country_name","iso3","year","bond_spreads","bond_10y","vulnerability100","exposure100","readiness100","lnrgdp","growth","inflation_cpi","debt_gdp","OB_gdp","reserves","gee","rqe","tt","is_advanced","sensitivity","EcoReadiness100","readiness_delta100","vulnerability_delta100","capacity","governance100","social100"
"Australia","AUS","2005","1.061441","5.3461","32.71096065","47.9701869855","63.38233597","7.423311695","3.04","2.659","10.84","1.561","2.583174374","1.74618125","1.599512935","88.4","1","15.4260691465498","52.723496791840800","15.833005721952800","-7.0797872689593300","35.6208999805426","81.553567037482992","55.8699440925832"
"Australia","AUS","2006","0.799324","5.591936","32.7094542","47.9701869855","67.75400761","7.449332198","2.636","3.554","9.92","1.464","3.204645125","1.707899332","1.62376225","98.1","1","15.3984032461731","62.453278247992700","19.424509819761100","-6.5742682502785600","35.624572294423","82.1201481155951","58.688596473574"
"Australia","AUS","2007","1.361856","5.99336","32.71295804","47.9701869855","68.45761187","7.49198284","4.357","2.356","9.647","1.28","1.500212942","1.818955183","1.684215903","102.8","1","15.4061639937869","64.254129951447200","19.349242151458500","-6.0645809417435500","35.6011695837106","82.62018450137009","58.4985211556539"
"Australia","AUS","2008","2.178197","5.825724","32.65549416","47.9701869855","69.24519039","7.518274371","2.664","4.348","11.709","-1.129","1.787973223","1.784767866","1.766017556","117.7","1","15.3491467815301","64.92782995901100","19.757903579717700","-5.875789236626600","35.4458515112313","83.3631862889508","59.4445549159633"
"Australia","AUS","2009","1.907142","5.151906","32.68610425","47.9701869855","68.40602289","7.537850832","1.977","1.77","16.566","-4.509","2.222942427","1.701963782","1.816927552","109.9","1","15.4397159564016","64.176395376305400","17.720815477828200","-5.066658851632700","35.4193117407163","83.141917856065689","57.899755434789"
"Australia","AUS","2010","2.187597","5.379213","32.65001543","47.9701869855","69.09468854","7.561845053","2.428","2.863","20.288","-4.866","2.197566547","1.763391376","1.695976734","120.6","1","15.4096586839016","66.861478258027100","18.814424905855100","-5.3659178242422200","35.310138888162","82.704974421359694","57.717612953516"
"Australia","AUS","2011","2.124056","4.885833","32.6581351","47.9701869855","69.45819924","7.588979159","2.751","3.356","23.962","-4.071","2.363716791","1.690138102","1.852122784","135.2","1","15.4266302212141","66.835566732979900","18.035832973183400","-4.6155535746114600","35.2938043350991","83.641380444729492","57.8976505445576"
"Australia","AUS","2012","1.623699","3.412845","32.765154","47.9701869855","69.79860612","7.626992632","3.875","1.686","27.42","-2.855","2.393636412","1.613148451","1.778897166","122.7","1","15.5065004643936","66.803177267281600","18.013937054805200","-4.2730765939991800","35.5225928716343","83.330110073509502","59.2625310057005"
"Australia","AUS","2013","1.3719","3.720173","32.67120098","47.9701869855","70.84961785","7.649179159","2.243","2.45","30.333","-2.064","2.517341176","1.632453084","1.79121995","119.3","1","15.6954938057568","68.205639184050800","17.742854356960200","-3.5078096170276500","34.9727465661447","82.436190320966389","61.9070240428411"
"Australia","AUS","2014","1.10954","3.639209","32.64526916","47.9701869855","70.96913312","7.674444236","2.559","2.513","33.893","-2.07","2.504396954","1.600894928","1.857373476","111.3","1","15.8066412239895","72.416263667126800","17.443040883529300","-3.261222587342500","34.7453894071047","83.908724815313093","56.5824108807135"
"Australia","AUS","2015","0.586489","2.718409","32.71172924","47.9701869855","70.59879962","7.697380593","2.32","1.485","37.575","-1.863","2.061501539","1.533252478","1.777410269","100","1","15.7747805512434","71.344173872877800","17.348564356184500","-3.3740400459452800","35.0046495477544","82.15294024214171","58.2992847305593"
"Australia","AUS","2016","0.532992","2.364962","32.79792791","47.9701869855","70.49276808","7.724055495","2.703","1.277","40.46","-1.516","2.319987778","1.532188416","1.885731459","99.9","1","15.9173152335777","68.830754993067100","16.813074784335300","-3.008739579481800","35.1034058993395","82.619901639591291","60.0276475941897"
"Australia","AUS","2017","0.333186","2.662278","32.76167633","47.9701869855","69.10183285","7.747649083","2.387","1.995","41.039","-0.845","2.834641114","1.498386025","1.923002362","116.4","1","15.895173381775","67.693886267421500","14.943303375068800","-2.7337988414517200","34.9805665155067","81.669678245670497","57.9419340455918"
"Australia","AUS","2018","-0.224718","2.685582","31.55680192","47.9701869855","69.57149503","7.775153621","2.789","1.933","41.598","-0.411","2.264431874","1.555989981","1.896577239","118.6","1","15.941709024252","68.247745441947200","14.631756429422700","-3.4309708641197900","30.9633711779958","82.172114604929007","58.2946250454396"
"Australia","AUS","2019","-0.634958","1.503742","31.35621576","47.9701869855","69.34119115","7.794701646","1.974","1.566","46.529","-3.572","2.388868734","1.538690805","1.864646077","130.2","1","16.0449001818512","67.468796774964800","13.328531547417400","-2.9342731027212100","30.1796867590549","82.00165077203711","58.553125891124"
"Australia","AUS","2020","0.036101","0.930213","31.37673688","47.9701869855","68.05801784","7.774061754","-2.043","0.89","56.91","-7.807","1.789009397","1.573353291","1.813946962","131.2","1","16.1374056231725","66.695499350424300","11.480290579397900","-2.5465184343024500","30.137703561586","80.227936924982799","57.2506172427246"
"Australia","AUS","2021","0.064678","1.504647","31.31583265","47.9701869855","69.39528454","7.826257963","5.358","2.841","55.372","-5.507","2.309984862","1.471722007","1.831182718","163.7","1","16.0803189044192","66.695499350424300","11.008126448934600","-1.4314861048100800","29.9805205612196","80.740260730660793","60.7500935381648"
"Australia","AUS","2022","0.242933","3.19479","31.58762277","47.9701869855","69.31456784","7.867477462","4.208","6.614","50.045","-1.461","2.171678729","1.528432727","1.894893289","181","1","16.0697887923206","66.695499350424300","7.6132609797162400","0.99414632214148700","30.8686594286902","81.385482524410904","59.862721657528"
"Australia","AUS","2023","0.001735","3.96375","31.59372385","47.9701869855","69.3309073","7.888603782","2.135","5.614","49.416","-0.534","2.313830996","1.589879632","1.942205548","172.2","1","16.0880920079989","66.695499350424300","5.6360597648701500","2.2958356519969700","30.8686594286902","81.500466322637905","59.7967562243079"
"Austria","AUT","1995","0.578404","7.156724","30.63405423","35.039807521","60.27582206","5.567741268","2.668","1.611","68.238","-2.924","8.92474958","","","","1","24.7112447490376","45.860178773962800","16.79863766269600","-11.803153048707200","32.0599092966309","83.335892925825405","51.6313944808963"
"Austria","AUT","1996","-0.103058","6.336657","30.71669384","35.039807521","60.91216247","5.591442101","2.398","1.695","68.18","-1.051","10.00794753","1.731649637","1.658712149","","1","25.041837696011","45.860178773962800","17.077589161820500","-11.488248854054800","31.9244488802082","83.335892925825405","53.5404157200612"
"Austria","AUT","1997","-0.647938","5.694402","30.61225401","35.039807521","61.0594536","5.612671798","2.146","1.154","63.373","0.652","8.040561052","","","","1","24.9218121403474","45.860178773962800","16.846867321589600","-11.347020688408300","31.7656965860011","82.099090700541595","55.2190913191112"
"Austria","AUT","1998","-0.54933","4.724478","30.66686128","35.039807521","61.14191031","5.647007517","3.493","0.828","69.197","0.191","8.893415245","1.803506255","1.346461296","","1","25.121660707244","45.860178773962800","16.397272370843400","-10.946636732967200","31.6816370708426","80.862288475257898","56.7032636683689"
"Austria","AUT","1999","-0.936829","4.710072","30.46699391","35.039807521","61.54182505","5.683933446","3.762","0.516","61.34","0.221","6.434138784","","","","1","24.6661352260064","45.860178773962800","16.378727443137300","-10.87455005700800","31.6214246879394","80.444613075763101","58.320683300549"
"Austria","AUT","2000","-0.463631","5.565124","30.39168689","35.039807521","61.91512176","5.715332186","3.19","1.957","66.109","0.67","5.815627633","1.847265244","1.47547555","113.6098131","1","24.5298680837542","45.860178773962800","16.013007856029200","-10.469575512551100","31.5273207644524","80.02693767626829","59.8582488205273"
"Austria","AUT","2001","0.089516","5.091788","30.37926225","35.039807521","62.75384554","5.728416549","1.317","2.292","67.238","1.975","5.072884734","","","112.2646891","1","24.4565599081793","45.860178773962800","16.704473956175100","-10.386298402322900","31.5738177075136","81.920048480190204","60.4813093775849"
"Austria","AUT","2002","0.371118","4.957162","30.44147538","35.039807521","63.40687101","5.743150613","1.484","1.688","67.44","1.187","4.22437955","1.880228162","1.538056254","112.4281444","1","24.6781189315424","45.860178773962800","16.755923281679100","-9.9331251120617300","31.4904245326068","83.813159284112203","60.5472749691228"
"Austria","AUT","2003","0.138101","4.138255","30.46410585","35.039807521","63.1393728","5.754500937","1.142","1.305","66.412","0.583","4.03326336","1.930461287","1.537136078","111.2572088","1","24.8572456258357","45.860178773962800","16.052789466092600","-9.6273780823573700","31.3309930097124","82.332346494050697","61.2255931281873"
"Austria","AUT","2004","-0.13185","4.125766","30.43294402","35.039807521","63.73422008","5.779829518","2.565","1.962","65.912","-2.643","3.765297729","1.843770623","1.514102817","109.8231385","1","24.8736939491886","45.860178773962800","15.975235317414500","-9.2215508849971700","31.210006054168","82.974539330574899","62.3679421400254"
"Austria","AUT","2005","-0.885874","3.398785","30.44386129","35.039807521","64.65612032","5.802767711","2.32","2.098","69.428","-0.18","3.571087378","1.679529071","1.604957461","108","1","24.9822413030278","47.897473291946500","16.35681223753300","-8.8594812406895100","31.1232116163304","82.979699262327799","63.0911884085738"
"Austria","AUT","2006","-0.994608","3.798004","30.43173676","35.039807521","67.64082187","5.834939384","3.269","1.689","68.176","-0.259","3.774722061","1.827385187","1.644411087","106.7","1","25.0308719136137","55.800491519596700","18.212566568246700","-8.1379107958418300","31.031587882853","83.262759364148494","63.859214729632"
"Austria","AUT","2007","-0.42351","4.207994","30.30762631","35.039807521","68.78567061","5.871996655","3.775","2.204","65.813","0.672","5.125678805","1.863565922","1.691163898","107.3","1","24.7987410602237","56.652333350944200","18.582570568753600","-7.7584550257200","30.9517303875362","85.169937933196209","64.5347405390919"
"Austria","AUT","2008","0.720764","4.368291","30.34719465","35.039807521","68.49156613","5.886426202","1.453","3.226","69.528","0.653","4.648904765","1.771658182","1.60645175","104.4","1","24.8811775383839","56.461235764636900","17.489834277926200","-7.1998614026154500","30.9829227133314","83.829761344004609","65.1837012949424"
"Austria","AUT","2009","0.690296","3.93506","30.39186352","35.039807521","66.82797346","5.849903863","-3.586","0.4","80.752","-3.064","5.156652491","1.662739277","1.450018525","106.4","1","24.7067158963965","53.847409636184400","15.990575722779200","-7.2619921374925500","31.3541687176995","80.987886498821211","65.6486242454992"
"Austria","AUT","2010","0.028452","3.220068","30.24361231","35.039807521","67.5040552","5.867832565","1.809","1.692","83.654","-2.212","6.29215163","1.8125211","1.450515866","103.9","1","24.4210692316858","55.065251788518800","16.203500090222900","-7.109240589977800","31.2349765109848","80.379752820764807","67.0671609820411"
"Austria","AUT","2011","0.562251","3.324028","30.35120391","35.039807521","67.54353347","5.896686726","2.927","3.546","83.356","-0.29","6.807849591","1.602885246","1.376976848","100.5","1","24.9925714950255","55.512225773751500","15.19502394952500","-6.3205906846454400","30.8599619125209","79.456935404480504","67.6614392378852"
"Austria","AUT","2012","0.555472","2.344618","29.97461644","35.039807521","68.05509537","5.902947492","0.628","2.568","82.935","0.068","7.432481496","1.560189724","1.517164707","99","1","24.5117122402125","55.24015464197700","14.851084110249500","-6.1411935055243600","30.3172623719918","80.821864168304799","68.1032672953029"
"Austria","AUT","2013","-0.353316","1.994957","30.11209687","35.039807521","69.53206754","5.900436934","-0.251","2.118","82.431","0.181","6.3847066","1.571379542","1.482213736","99.6","1","24.3356546839486","58.893681098980300","15.740443767989100","-5.6218277841592200","30.9497111972072","81.26936157430859","68.433159932429"
"Austria","AUT","2014","-1.032143","1.497526","30.37026593","35.039807521","70.86733273","5.907968801","0.756","1.463","85.21","0.108","6.794659509","1.552995682","1.482170105","99.1","1","24.7479051526693","62.971508986494600","16.715545494890500","-5.129590977343400","31.23521275336","80.972998043952103","68.6574911720477"
"Austria","AUT","2015","-1.377173","0.754747","30.01437763","35.039807521","70.458014","5.920918685","1.303","0.812","85.615","1.387","5.966329447","1.450979114","1.390447021","100","1","24.3474852427326","62.913207995749100","15.785967922633800","-5.1473666671564900","30.6569914578859","79.335315911327797","69.1255180833456"
"Austria","AUT","2016","-1.45647","0.3755","29.85615396","35.039807521","68.77032379","5.941869809","2.117","0.972","83.419","0.232","6.109480562","1.4748106","1.428890109","100","1","24.5667398085612","58.670194165753200","12.876275608601600","-4.5114196437755500","29.9302933204639","78.386746257523399","69.2540309448474"
"Austria","AUT","2017","-1.74238","0.586712","29.84765325","35.039807521","69.08674341","5.964337411","2.272","2.234","79.057","0.723","5.539586085","1.467751503","1.427861452","98.7","1","24.7332061304128","58.43375135122400","12.558276288191900","-4.1076158789739200","29.7077821289646","79.186424062208999","69.6400548153681"
"Austria","AUT","2018","-2.234364","0.675936","29.76770482","35.039807521","69.08810341","5.9888762","2.484","2.118","74.586","1.513","5.812692114","1.456116676","1.524036407","97.5","1","24.7920366407386","57.656405243471200","11.367203566959700","-3.4126105522828300","29.3994490540268","79.690637292763796","69.9172676979558"
"Austria","AUT","2019","-2.082737","0.055963","29.82572508","35.039807521","68.61134092","6.006274339","1.755","1.497","71.006","1.712","5.817305166","1.492126226","1.446407318","97.4","1","25.5649074183354","56.74573967729500","9.2877954117631200","-2.3130419923302100","28.6681318435653","79.109264454446702","69.9790186295151"
"Austria","AUT","2020","-0.746605","0.147507","29.38090675","35.039807521","68.16719641","5.941007745","-6.318","1.389","83.183","-7.082","8.00371332","1.605863214","1.395227313","98.6","1","24.5276263866845","55.946665660058700","9.6331978763680700","-3.2709814239783900","28.6160994816977","78.1350553707464","70.4198682058947"
"Austria","AUT","2021","-1.521373","-0.081404","29.15407628","35.039807521","67.98137811","5.989064169","4.923","2.765","82.399","-4.794","8.509651946","1.528294683","1.340415716","96.5","1","23.9366166892231","55.946665660058700","7.5311916032259500","-2.25249461454600","28.6365457392697","76.4715435148902","71.5259251602289"
"Austria","AUT","2022","-1.234105","1.717752","29.91105266","35.039807521","67.51003354","6.041002051","5.331","8.621","78.141","-2.658","7.869757795","1.464922786","1.283199787","94","1","25.753517608498","55.946665660058700","3.7126983927620300","0.67977046270765200","28.691580575472","74.967356149262002","71.6160788240469"
"Austria","AUT","2023","-0.877617","3.084398","29.53165686","35.039807521","67.61976284","6.033107804","-0.786","7.709","77.754","-1.821","7.484795609","1.326681495","1.361369729","95.5","1","24.8387008141024","55.946665660058700","3.9328306609226100","0.22862452978256700","28.691580575472","75.184938621674505","71.7276842335782"
"Bangladesh","BGD","1995","","","57.62206641","51.8711858027","33.81054434","8.786185748","4.925","8.857","","0.254","0.03631503553","","","161.6933743","0","45.1087224581536","46.462622028257500","-0.019952132455980400","8.9155435498121900","75.8862909817282","33.090766121360396","21.8782448823629"
"Bangladesh","BGD","1996","","","57.48606988","51.8711858027","33.79502506","8.831370154","4.622","6.838","","-1.255","0.02730897638","-0.6878501177","-0.9298177958","160.4406567","0","44.9026447124803","46.462622028257500","-0.058912848073239300","8.7947814428571100","75.6843791379617","33.090766121360396","21.8316870257231"
"Bangladesh","BGD","1997","","","58.02834411","51.8711858027","34.01888828","8.875289924","4.49","2.661","","-1.229","0.02251883592","","","165.2261707","0","44.9535786151641","46.462622028257500","0.14136848096743500","9.3523813840591800","77.2602679242753","33.7384833160665","21.8555595100381"
"Bangladesh","BGD","1998","","","57.07224677","51.8711858027","34.23096445","8.92576467","5.177","6.657","","-1.34","0.02573023165","-0.4903289974","-1.049343109","164.5139889","0","44.4387526239794","46.462622028257500","0.32866876616813300","8.4123857177770900","74.906801891488","34.386200510772603","21.8440708221416"
"Bangladesh","BGD","1999","","","56.83249824","51.8711858027","33.60574528","8.971408844","4.67","8.904","","-0.291","0.02075480259","","","157.1444559","0","44.4187645482963","46.462622028257500","-0.32113148468568300","8.1886122520270900","74.2075443600939","32.491729273449302","21.8628845307358"
"Bangladesh","BGD","2000","","","56.52454058","51.8711858027","32.98131834","9.022988705","5.293","3.623","","-1.325","0.01828118938","-0.607652247","-0.9412081242","144.5728994","0","44.1851605531483","46.462622028257500","-0.98086534906082200","7.9036003175017100","73.5172753785913","30.597258036126","21.8840749435713"
"Bangladesh","BGD","2001","","","56.70125471","51.8711858027","32.5005762","9.072513826","5.077","1.812","","-2.256","0.01498572145","","","149.816833","0","44.9622407402609","46.462622028257500","-1.4985366239145400","8.1043144461727900","73.2703375974355","28.973251853402697","22.0658547278996"
"Bangladesh","BGD","2002","","","56.35764381","51.8711858027","31.95664076","9.110129242","3.833","2.407","","-0.995","0.01903213003","-0.7267361283","-1.055441499","148.5674986","0","44.3507154128785","46.462622028257500","-2.0688557135695300","7.7778500941174400","72.8510302287148","27.349245670679302","22.0580545706871"
"Bangladesh","BGD","2003","","","56.38649581","51.8711858027","31.4382786","9.156435987","4.74","3.881","37.044","-0.602","0.02769985042","-0.8389385939","-1.044749141","134.329352","0","44.7345962897981","46.462622028257500","-2.6248549463194700","7.8311621642050700","72.5537053283758","25.725345381828703","22.1268684039681"
"Bangladesh","BGD","2004","","","56.34304285","51.8711858027","30.80951816","9.207504655","5.24","8.139","36.585","-1.02","0.03230908597","-0.9328825474","-1.175912261","125.2143862","0","44.0113530163739","46.462622028257500","-3.3033464931008700","7.8200291067925800","73.1465897313516","23.8487277607694","22.1172046955454"
"Bangladesh","BGD","2005","","","56.01026182","51.8711858027","32.96775917","9.270816936","6.536","6.486","35.558","-1.19","0.02659221797","-0.9189543128","-1.081751704","108.9","0","43.4702524702366","52.57774431497700","-1.2133008657082800","7.5315677890837800","72.6893472011737","23.953048338831302","22.3724848674359"
"Bangladesh","BGD","2006","","","55.41159896","51.8711858027","40.69097976","9.335404834","6.672","7.163","35.332","-0.848","0.03421364155","-0.8386991024","-1.005542517","101.2","0","43.2219758420668","73.294016904743100","6.4342548338583400","6.9820790096738100","71.1416352284801","26.003425623401299","22.7754967627228"
"Bangladesh","BGD","2007","","","56.34095111","51.8711858027","42.00072101","9.403610524","7.059","7.205","34.989","-0.495","0.04350011215","-0.7075327635","-0.9531678557","93.1","0","43.8402507140287","74.058407249972300","7.6608968914110200","7.9654367488867300","73.3114168156444","28.6860359983996","23.2577197796431"
"Bangladesh","BGD","2008","","","55.78225565","51.8711858027","42.60154284","9.462009182","6.014","9.937","33.87","-1.576","0.04499682023","-0.7383964062","-0.9145178199","81.7","0","43.2285676840828","74.609027335393900","8.1898461257033200","7.453450783608900","72.2470134512026","29.488682290067704","23.706918883035"
"Bangladesh","BGD","2009","","","55.62024647","51.8711858027","42.74923423","9.511229175","5.045","6.655","33.01","-0.861","0.07654397853","-0.8027564287","-0.8663428426","91.4","0","43.3893696705608","74.796885951375700","8.2856444037805100","7.3251665861791500","71.6001839389671","29.240215699860801","24.2106010467178"
"Bangladesh","BGD","2010","","","55.40661622","51.8711858027","45.45295996","9.565450342","5.572","7.316","29.623","-0.683","0.07834631472","-0.7536895871","-0.8575930595","81","0","42.9642077747776","81.702310108371600","10.921084168867300","7.1559149032642200","71.3844550697892","29.844829063850796","24.8117407017699"
"Bangladesh","BGD","2011","","","55.3562046","51.8711858027","45.74599757","9.628090575","6.464","8.787","29.393","-1.589","0.06041817665","-0.7721207142","-0.8170785904","76.8","0","43.2560062106887","81.682876523975400","11.120347152872400","7.1664467655482700","70.9414217720122","30.219404857223296","25.3357113399324"
"Bangladesh","BGD","2012","","","54.49834901","51.8711858027","45.89828521","9.691266941","6.521","8.889","29.078","-0.993","0.07884794592","-0.8077261448","-0.959472537","86.7","0","42.6492403776904","82.162239856127900","11.107558078866200","6.4158733837318500","68.974620835148","30.012552148345101","25.5200636198569"
"Bangladesh","BGD","2013","","","54.49971025","51.8711858027","46.01432381","9.749663828","6.014","6.777","28.344","-1.219","0.1054770285","-0.7977811098","-0.9239369035","86.9","0","42.7588088207006","83.146878283037100","11.112904519354300","6.4891726904061500","68.8691361150017","29.2211279082026","25.6749652275565"
"Bangladesh","BGD","2014","","","54.89215226","51.8711858027","25.41896048","9.808509343","6.061","7.349","28.683","-0.879","0.1227180902","-0.7750712037","-0.9551604986","89.3","0","42.5413516268117","17.5064811476700","-9.6037432329969500","6.9604366084559400","70.2639193440721","32.6618521882314","26.0885480985842"
"Bangladesh","BGD","2015","7.059326","9.191246","53.83821565","51.8711858027","25.123842","9.871977897","6.553","6.405","28.206","-1.584","0.1418658413","-0.7520095706","-0.9202404022","100","0","42.2676339920091","17.001206171691700","-10.00218512280900","5.973649167736900","67.3758271594703","31.821634758501499","26.5486850558222"
"Bangladesh","BGD","2016","5.25803","7.09","53.4508971","51.8711858027","26.72357888","9.94069711","7.114","5.916","27.72","-1.568","0.1555232293","-0.7058475614","-0.8113279939","99.4","0","41.8057973487617","20.505741419062600","-8.5605807552172600","5.6890998372590300","66.6757081418759","32.3914865091024","27.273508697045"
"Bangladesh","BGD","2017","4.421631","6.750723","52.96711898","51.8711858027","26.81285055","10.00451906","6.59","5.44","28.306","-2.631","0.1510943477","-0.7520131469","-0.8247574568","94.5","0","41.8685748184732","20.288732307708100","-8.6021067523184100","5.290326214831100","65.1615963139852","32.467573586995101","27.6822457408652"
"Bangladesh","BGD","2018","4.266478","7.176778","52.88983952","51.8711858027","27.1837345","10.07515842","7.319","5.783","29.553","-2.467","0.1348805458","-0.7622836828","-0.8491867781","91.1","0","41.8101204524263","20.11706830579700","-8.4930778565490600","5.3832245481408900","64.9882123143119","33.256750229858298","28.1773849708218"
"Bangladesh","BGD","2019","6.292304","8.431004","52.92064926","51.8711858027","27.21469335","10.1510251","7.882","5.475","31.951","-3.714","0.1276359085","-0.7535396218","-0.9372221828","96.9","0","42.1794861420746","20.130108519818700","-8.7021711883342500","5.5700425351368100","64.711275846078","32.5741997524594","28.9397717755365"
"Bangladesh","BGD","2020","6.990044","7.884156","52.81836273","51.8711858027","27.76844369","10.18492454","3.448","5.648","34.509","-3.001","0.162908213","-0.7794913054","-0.906213522","101.3","0","42.4535993651472","20.713303602921800","-8.4042024498975600","5.6339866960205600","64.1303030304126","33.243233952508902","29.3487935239346"
"Bangladesh","BGD","2021","4.689156","6.129125","55.72456933","51.8711858027","27.7504096","10.25200975","6.939","5.558","35.614","-1.556","0.1629020632","-0.6533515453","-0.8463532925","83.6","0","43.5135021880572","20.713303602921800","-8.7672457371374400","8.7644123733927900","71.789019995128","32.822508278484399","29.7154169119527"
"Bangladesh","BGD","2022","4.806053","7.75791","56.85681819","51.8711858027","27.51653655","10.32060109","7.1","6.15","37.863","-2.569","0.1111879371","-0.7633553147","-0.9276589155","73.9","0","46.8592119656614","20.713303602921800","-9.436204938273300","10.179420706002200","71.840056788469","31.9834413132888","29.8528647406594"
"Bangladesh","BGD","2023","5.161689","9.123704","56.83826102","51.8711858027","27.93084902","10.37674616","5.775","9.016","39.726","-2.337","0.06808959998","-0.6973341107","-0.9141529799","80.9","0","46.8119603380568","20.713303602921800","-9.3223981710097600","10.356160108782900","71.8316369126235","32.869967917692101","30.209275537577"
"Belgium","BEL","1995","0.912936","7.491256","35.7881935","34.025224047","54.16709801","5.752163031","2.385","1.265","131.286","3.844","7.660426968","","","","1","36.069356955754","46.78327723980100","11.188579662864800","-6.9730933895072700","37.2699994848816","76.301837756822493","39.4161790258209"
"Belgium","BEL","1996","0.05953","6.499245","35.69965362","34.025224047","54.61596392","5.765291411","1.321","1.76","129.004","3.982","7.086993176","1.711543679","1.21423173","","1","35.9745776202457","46.78327723980100","11.505861735488100","-6.976117843289500","37.09915918057","76.301837756822493","40.7627767680978"
"Belgium","BEL","1997","-0.579348","5.762992","35.6910997","34.025224047","54.34723672","5.802523127","3.793","1.498","124.271","5.158","6.231903119","","","","1","35.7394537082012","46.78327723980100","10.809953107886500","-6.7070495143138800","37.3086213456528","74.718573966595002","41.5398589442078"
"Belgium","BEL","1998","-0.518772","4.755036","35.66569528","34.025224047","53.41026839","5.821953583","1.962","0.909","119.186","5.969","6.22358441","1.770154357","1.005810738","","1","36.0311422547172","46.78327723980100","9.5967739603722600","-6.5529464377153500","36.9407195429123","73.135310176367597","40.312217745846"
"Belgium","BEL","1999","-0.87552","4.771381","35.65018336","34.025224047","53.54908994","5.85676676","3.543","1.131","115.362","5.832","3.817661921","","","","1","35.6181321853272","46.78327723980100","9.2735270555442500","-6.2681632723694500","37.3071938551739","74.346124027015108","39.5178685434253"
"Belgium","BEL","2000","-0.448201","5.580554","35.61085789","34.025224047","54.35758621","5.89325893","3.717","2.679","109.589","6.179","3.384515402","1.659194231","1.152969837","103.9572659","1","35.6058621957433","46.78327723980100","9.0703579548262600","-5.6500144322376600","37.2014874309397","75.556937877662506","40.7325435117523"
"Belgium","BEL","2001","0.122613","5.124885","35.66558935","34.025224047","54.76517048","5.904197683","1.1","2.44","108.217","6.239","3.699208932","","","104.3688798","1","35.6025538632764","46.78327723980100","9.0432832690406900","-5.3128011333507100","37.368990141139","76.196825752485594","41.3154084387956"
